Year,Quarter,Date,Ticker
2015,1,2015-03-31,GMCR
2015,1,2015-03-31,GME
2015,1,2015-03-31,GNW
2015,1,2015-03-31,GOOG
2015,1,2015-03-31,GOOGL
2015,1,2015-03-31,GPC
2015,1,2015-03-31,GPS
2015,1,2015-03-31,GRMN
2015,1,2015-03-31,GS
2015,1,2015-03-31,GT
2015,1,2015-03-31,GWW
2015,1,2015-03-31,HAL
2015,1,2015-03-31,HAR
2015,1,2015-03-31,HAS
2015,1,2015-03-31,HBAN
2015,1,2015-03-31,HBI
2015,1,2015-03-31,HCA
2015,1,2015-03-31,HCBK
2015,1,2015-03-31,HCP
2015,1,2015-03-31,HD
2015,1,2015-03-31,HES
2015,1,2015-03-31,HIG
2015,1,2015-03-31,HOG
2015,1,2015-03-31,HON
2015,1,2015-03-31,HOT
2015,1,2015-03-31,HP
2015,1,2015-03-31,HPQ
2015,1,2015-03-31,HRB
2015,1,2015-03-31,HRL
2015,1,2015-03-31,HRS
2015,1,2015-03-31,HSIC
2015,1,2015-03-31,HSP
2015,1,2015-03-31,HST
2015,1,2015-03-31,HSY
2015,1,2015-03-31,HUM
2015,1,2015-03-31,IBM
2015,1,2015-03-31,ICE
2015,1,2015-03-31,IFF
2015,1,2015-03-31,INTC
2015,1,2015-03-31,INTU
2015,1,2015-03-31,IP
2015,1,2015-03-31,IPG
2015,1,2015-03-31,IR
2015,1,2015-03-31,IRM
2015,1,2015-03-31,ISRG
2015,1,2015-03-31,ITW
2015,1,2015-03-31,IVZ
2015,1,2015-03-31,JCI
2015,1,2015-03-31,JEC
2015,1,2015-03-31,JEF
2015,1,2015-03-31,JNJ
2015,1,2015-03-31,JNPR
2015,1,2015-03-31,JOY
2015,1,2015-03-31,JPM
2015,1,2015-03-31,JWN
2015,1,2015-03-31,K
2015,1,2015-03-31,KDP
2015,1,2015-03-31,KEY
2015,1,2015-03-31,KIM
2015,1,2015-03-31,KLAC
2015,1,2015-03-31,KMB
2015,1,2015-03-31,KMI
2015,1,2015-03-31,KMX
2015,1,2015-03-31,KO
2015,1,2015-03-31,KORS
2015,1,2015-03-31,KR
2015,1,2015-03-31,KRFT
2015,1,2015-03-31,KSS
2015,1,2015-03-31,KSU
2015,1,2015-03-31,L
2015,1,2015-03-31,LB
2015,1,2015-03-31,LEG
2015,1,2015-03-31,LEN
2015,1,2015-03-31,LH
2015,1,2015-03-31,LLL
2015,1,2015-03-31,LLTC
2015,1,2015-03-31,LLY
2015,1,2015-03-31,LM
2015,1,2015-03-31,LMT
2015,1,2015-03-31,LNC
2015,1,2015-03-31,LO
2015,1,2015-03-31,LOW
2015,1,2015-03-31,LRCX
2015,1,2015-03-31,LUV
2015,1,2015-03-31,LVLT
2015,1,2015-03-31,LYB
2015,1,2015-03-31,M
2015,1,2015-03-31,MA
2015,1,2015-03-31,MAC
2015,1,2015-03-31,MAR
2015,1,2015-03-31,MAS
2015,1,2015-03-31,MAT
2015,1,2015-03-31,MCD
2015,1,2015-03-31,MCHP
2015,1,2015-03-31,MCK
2015,1,2015-03-31,MCO
2015,1,2015-03-31,MDLZ
2015,1,2015-03-31,MDT
2015,1,2015-03-31,MET
2015,1,2015-03-31,MHK
2015,1,2015-03-31,MJN
2015,1,2015-03-31,MKC
2015,1,2015-03-31,MLM
2015,1,2015-03-31,MMC
2015,1,2015-03-31,MMM
2015,1,2015-03-31,MNK
2015,1,2015-03-31,MNST
2015,1,2015-03-31,MO
2015,1,2015-03-31,MON
2015,1,2015-03-31,MOS
2015,1,2015-03-31,MPC
2015,1,2015-03-31,MRK
2015,1,2015-03-31,MRO
2015,1,2015-03-31,MS
2015,1,2015-03-31,MSFT
2015,1,2015-03-31,MSI
